source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Sun Dec 27 22:22:52 +0000 2009,False,That message is From Willow! :),message willow,that message is from willow
other,Sun Dec 27 22:16:20 +0000 2009,False,Happy 1st birthday Tripp!! :D,happy st birthday tripp,happy st birthday tripp d
other,Fri Dec 25 16:20:31 +0000 2009,False,"Merry Christmas morning from the Palins! Joy,peace,rest&increased faith for you&your family this season. Jesus is the Reason for the Season!",merry christmas morning palins joy peace rest increased faith family season jesus reason season,merry christmas morning from the palins joy peace rest increased faith for you your family this season jesus is the reason for the season
other,Thu Dec 24 23:10:07 +0000 2009,False,"Christmas Eve greetings!God bless the holy season;pls pray for troops away from home.""Glory to God in the highest...peace on earth""Luke 2:14",christmas eve greetings god bless holy season pls pray troops away home glory god highest peace earth luke,christmas eve greetings god bless the holy season pls pray for troops away from home glory to god in the highest peace on earth luke
other,Thu Dec 24 06:01:54 +0000 2009,False,"c tomrrw's Healthcare Takeover vote=the sleeping giant will awaken&action will b takn by""average""Americans as lite shines on big govt growth",c tomrrw healthcare takeover vote sleeping giant awaken action b takn average americans lite shines big govt growth,c tomrrw s healthcare takeover vote the sleeping giant will awaken action will b takn by average americans as lite shines on big govt growth
other,Thu Dec 24 05:30:54 +0000 2009,False,@SarahPalinUSA,@sarahpalinusa,@sarahpalinusa
other,Wed Dec 23 07:33:14 +0000 2009,False,"AKs Winter Solstice=today begins season of lighter/brightr days.May it b in Washngton,too=more light so r govt's actions can lift up America",aks winter solstice today begins season lighter brightr days may b washngton light r govt actions lift america,aks winter solstice today begins season of lighter brightr days may it b in washngton too more light so r govt s actions can lift up america
other,Wed Dec 23 07:07:41 +0000 2009,False,"Huge govt growth w/healthcare takeover.When we let govt grow big enough 2 provide everything 4 us,it'll b big enough 2 take anything from us",huge govt growth w healthcare takeover let govt grow big enough provide everything us b big enough take anything us,huge govt growth w healthcare takeover when we let govt grow big enough provide everything us it ll b big enough take anything from us
other,Wed Dec 23 06:14:05 +0000 2009,False,@SarahPalinUSA,@sarahpalinusa,@sarahpalinusa
other,Tue Dec 22 19:09:58 +0000 2009,False,Congratulations Alabama!And all Americans concerned about Capitol Hill's current agenda;Rep Parker Griffith just did the right thing.Welcome,congratulations alabama americans concerned capitol hill current agenda rep parker griffith right thing welcome,congratulations alabama and all americans concerned about capitol hill s current agenda rep parker griffith just did the right thing welcome
other,Tue Dec 22 18:32:45 +0000 2009,False,"Heading 2 book signing event&but will b posting on FaceBook page new,grave concerns about Congress/Prez""rushed"" action2 take over healthcare",heading book signing event b posting facebook page new grave concerns congress prez rushed action take healthcare,heading book signing event but will b posting on facebook page new grave concerns about congress prez rushed action take over healthcare
other,Tue Dec 22 18:29:59 +0000 2009,False,...merged bill may b unrecognizable from what assumed was a done deal:R death panels back in?what's punishment 4not purchasing mandated HC?,merged bill may b unrecognizable assumed done deal r death panels back punishment purchasing mandated hc,merged bill may b unrecognizable from what assumed was a done deal r death panels back in what s punishment not purchasing mandated hc
other,Tue Dec 22 18:25:14 +0000 2009,False,"NOW w/the Prez ""threatening"" &Congress ""rushing"" is when we MUST pay more attention than ever 2what this HealthCare Takeover is all about...",w prez threatening congress rushing must pay attention ever healthcare takeover,now w the prez threatening congress rushing is when we must pay more attention than ever what this healthcare takeover is all about
other,Sat Dec 19 07:57:13 +0000 2009,False,Earth saw clmate chnge4 ions;will cont 2 c chnges.R duty2responsbly devlop resorces4humankind/not pollute&destroy;but cant alter naturl chng,earth saw clmate chnge ions cont c chnges r duty responsbly devlop resorces humankind pollute destroy cant alter naturl chng,earth saw clmate chnge ions will cont c chnges r duty responsbly devlop resorces humankind not pollute destroy but cant alter naturl chng
other,Sat Dec 19 07:44:00 +0000 2009,False,"Copenhgen=arrogance of man2think we can change nature's ways.MUST b good stewards of God's earth,but arrogant&naive2say man overpwers nature",copenhgen arrogance man think change nature ways must b good stewards god earth arrogant naive say man overpwers nature,copenhgen arrogance of man think we can change nature s ways must b good stewards of god s earth but arrogant naive say man overpwers nature
other,Fri Dec 18 17:04:51 +0000 2009,False,"AK book signing is Dec22, 11-2@local Sports Arena...very excited about this bc we'll get 2see old&new friends&share holiday cheer@same time!",ak book signing dec @local sports arena excited bc get see old new friends share holiday cheer@same time,ak book signing is dec @local sports arena very excited about this bc we ll get see old new friends share holiday cheer@same time
other,Fri Dec 18 09:03:50 +0000 2009,False,"Upon rtn2 AK glad2hear Legislr fights Fed's""Endangered Species Act""listing w/all-out effort!Fed's efforts 2 stymie r devlpmnt is unaccptable",upon rtn ak glad hear legislr fights fed endangered species act listing w effort fed efforts stymie r devlpmnt unaccptable,upon rtn ak glad hear legislr fights fed s endangered species act listing w all out effort fed s efforts stymie r devlpmnt is unaccptable
other,Fri Dec 18 08:54:32 +0000 2009,False,"Countdown less thn wk 2 go b4 Christmas hope youll make time to get outdoors,stretch legs,breathe winter air&find peace/joy n seasons beauty",countdown less thn wk go b christmas hope youll make time get outdoors stretch legs breathe winter air find peace joy n seasons beauty,countdown less thn wk go b christmas hope youll make time to get outdoors stretch legs breathe winter air find peace joy n seasons beauty
other,Fri Dec 18 08:16:18 +0000 2009,False,"AK has18""new powder!So cut sunny vacation short(thanks, desperate paparazzi)Back early2enjoy AK snow&sparkle&Christmas prep!It all works out",ak new powder cut sunny vacation short thanks desperate paparazzi back early enjoy ak snow sparkle christmas prep works,ak has new powder so cut sunny vacation short thanks desperate paparazzi back early enjoy ak snow sparkle christmas prep it all works out
other,Wed Dec 16 03:32:25 +0000 2009,False,"Appreciate Rep.Mark Kirk's(Illinois)comments re:Pres Obama not CLOSING Gitmo, merely moving it outside of Chicago!Very,very odd strategy,DC.",appreciate rep mark kirk illinois comments pres obama closing gitmo merely moving outside chicago odd strategy dc,appreciate rep mark kirk s illinois comments re pres obama not closing gitmo merely moving it outside of chicago very very odd strategy dc
other,Wed Dec 16 03:16:14 +0000 2009,False,"Amidst Hanukkah&Christmas festivities,don't lose sight:""Trace the universe back 2 God's power&follow His power upstream 2 His wisdom""-Lucado",amidst hanukkah christmas festivities lose sight trace universe back god power follow power upstream wisdom lucado,amidst hanukkah christmas festivities don t lose sight trace the universe back god s power follow his power upstream his wisdom lucado
other,Wed Dec 16 02:55:49 +0000 2009,False,"Sounds like the Alaska book signing events 4 general public will be Dec 22, hopefully in both Anchorage&1 other location. Bundle up&join us!",sounds like alaska book signing events general public dec hopefully anchorage location bundle join us,sounds like the alaska book signing events general public will be dec hopefully in both anchorage other location bundle up join us
other,Mon Dec 14 07:26:26 +0000 2009,False,"Flying from Fairbanks 2 Wasilla, looking 4 dancing Northern Lights.The frigid,black sky paints perfect backdrop 4 hem of the Aurora Borealis",flying fairbanks wasilla looking dancing northern lights frigid black sky paints perfect backdrop hem aurora borealis,flying from fairbanks wasilla looking dancing northern lights the frigid black sky paints perfect backdrop hem of the aurora borealis
other,Mon Dec 14 05:52:59 +0000 2009,False,"22-degrees below zero here@Eielson Air Force Base,but so many warm hearts made r book signing event toasty, energizing, welcoming!Thx Frbnks",degrees zero here@eielson air force base many warm hearts made r book signing event toasty energizing welcoming thx frbnks,degrees below zero here@eielson air force base but so many warm hearts made r book signing event toasty energizing welcoming thx frbnks
other,Sun Dec 13 19:48:08 +0000 2009,False,...this yr;wanting kids (especially!) 2remember true Reason 4 the Season.This is most beautiful time of yr n Alaska&reminds how blessed we r,yr wanting kids especially remember true reason season beautiful time yr n alaska reminds blessed r,this yr wanting kids especially remember true reason the season this is most beautiful time of yr n alaska reminds how blessed we r
other,Sun Dec 13 19:44:28 +0000 2009,False,"Waiting to get on military base...thinking of obligatory Christmas prep still undone,desiring less materialistic/more meaningful season(more",waiting get military base thinking obligatory christmas prep still undone desiring less materialistic meaningful season,waiting to get on military base thinking of obligatory christmas prep still undone desiring less materialistic more meaningful season more
other,Sun Dec 13 19:23:20 +0000 2009,False,"Heading 2 Eielson Air Force base,Anchorage, 4 book event;military's call 2 keep this military personnel only,so we'll do public event later",heading eielson air force base anchorage book event military call keep military personnel public event later,heading eielson air force base anchorage book event military s call keep this military personnel only so we ll do public event later
other,Sat Dec 12 17:53:33 +0000 2009,False,"In Seattle flying north,we'll post on Facebook page our back stage Conan pix from last night,good ones of Wounded Warriors w/us in audience!",seattle flying north post facebook page back stage conan pix last night good ones wounded warriors w us audience,in seattle flying north we ll post on facebook page our back stage conan pix from last night good ones of wounded warriors w us in audience
other,Sat Dec 12 01:58:03 +0000 2009,False,"These Warriors deserve r support,attention,respect& honor;go 2 lauraingraham.com 4 Laura's auction of red Rogue coat 2 benefit these troops!",warriors deserve r support attention respect honor go lauraingraham com laura auction red rogue coat benefit troops,these warriors deserve r support attention respect honor go lauraingraham com laura s auction of red rogue coat benefit these troops
other,Sat Dec 12 01:53:22 +0000 2009,False,"In Calif,had blast w/William Shatner,gig w/him airs tonite on Conan.Honored 2 have Wounded Warriors in studio audience=TRUE American heroes-",calif blast w william shatner gig w airs tonite conan honored wounded warriors studio audience true american heroes,in calif had blast w william shatner gig w him airs tonite on conan honored have wounded warriors in studio audience true american heroes
other,Fri Dec 11 17:32:35 +0000 2009,False,"Catching Cpenhagen news:beware disappointing plans 2 cause USA job loss 2 overseas industry,raise cost of living thx 2 radical enviros plans",catching cpenhagen news beware disappointing plans cause usa job loss overseas industry raise cost living thx radical enviros plans,catching cpenhagen news beware disappointing plans cause usa job loss overseas industry raise cost of living thx radical enviros plans
other,Fri Dec 11 17:27:03 +0000 2009,False,Packing up 4 return 2 Alaska in time 4 kids' dance recital&bball game + 2 great book events @Elmendorf/Eielson!Its been a great trip Outside,packing return alaska time kids dance recital bball game great book events @elmendorf eielson great trip outside,packing up return alaska in time kids dance recital bball game great book events @elmendorf eielson its been a great trip outside
other,Fri Dec 11 06:27:09 +0000 2009,False,Head out now 2 tape a media segment b4 heading 2 Alaska for 2 more book events.I'm honored 2 sign@Anchorage&Fairbanks military bases Sunday,head tape media segment b heading alaska book events honored sign@anchorage fairbanks military bases sunday,head out now tape a media segment b heading alaska for more book events i m honored sign@anchorage fairbanks military bases sunday
other,Fri Dec 11 06:23:38 +0000 2009,False,Idaho=wonderful&hospitable; thanks so much!Both events enjoyed by old friends&new coming-to-the-party patriots anxious 4 real change in USA,idaho wonderful hospitable thanks much events enjoyed old friends new coming party patriots anxious real change usa,idaho wonderful hospitable thanks so much both events enjoyed by old friends new coming to the party patriots anxious real change in usa
other,Fri Dec 11 01:14:38 +0000 2009,False,THEE Laura Ingraham auctioning my Goin'Rogue warrior red jacket worn on my book cover.All proceeds 2 Wounded Warriors!Go 2 lauraingraham.com,thee laura ingraham auctioning goin rogue warrior red jacket worn book cover proceeds wounded warriors go lauraingraham com,thee laura ingraham auctioning my goin rogue warrior red jacket worn on my book cover all proceeds wounded warriors go lauraingraham com
other,Fri Dec 11 00:21:55 +0000 2009,False,On bus 4 ride North=book event in Sandpoint;stop in Idaho snowmachine shop owned by Todd's Iron Dog buddies;small biz owners rock r economy!,bus ride north book event sandpoint stop idaho snowmachine shop owned todd iron dog buddies small biz owners rock r economy,on bus ride north book event in sandpoint stop in idaho snowmachine shop owned by todd s iron dog buddies small biz owners rock r economy
other,Fri Dec 11 00:17:07 +0000 2009,False,"Coeur d'Alene=awesome! Proof that these ""non-traditional""tour stops r more than worth the effort 2 reach out&hear from 1000s of heartlanders",coeur alene awesome proof non traditional tour stops r worth effort reach hear heartlanders,coeur d alene awesome proof that these non traditional tour stops r more than worth the effort reach out hear from s of heartlanders
other,Thu Dec 10 03:45:27 +0000 2009,False,"Wrapping up great Reno visit,now headed 2 Coeurd'Alene,Idaho;we love these unconventional/beautiful book tour stops.Pls see new Facebook pix",wrapping great reno visit headed coeurd alene idaho love unconventional beautiful book tour stops pls see new facebook pix,wrapping up great reno visit now headed coeurd alene idaho we love these unconventional beautiful book tour stops pls see new facebook pix
other,Thu Dec 10 00:08:37 +0000 2009,False,"Anxious 4 Reno event,it's also@Costco,we just arrived&surprised to see snow here,too. Bringing r Alaska weather w/us so no one gets homesick",anxious reno event also@costco arrived surprised see snow bringing r alaska weather w us one gets homesick,anxious reno event it s also@costco we just arrived surprised to see snow here too bringing r alaska weather w us so no one gets homesick
other,Thu Dec 10 00:02:09 +0000 2009,False,Salt Lake was spectacular!Fortunate folks living in that mountainous wonderland.Costco event was great-we got 2 start early 2 see more folks,salt lake spectacular fortunate folks living mountainous wonderland costco event great got start early see folks,salt lake was spectacular fortunate folks living in that mountainous wonderland costco event was great we got start early see more folks
other,Wed Dec 09 23:59:01 +0000 2009,False,"Glad Wash.Post ran my Op-Ed on""Global Warming""Climategate scandal;amazing 2 see Al Gore's denial of the controversy-its like denying gravity",glad wash post ran op ed global warming climategate scandal amazing see al gore denial controversy like denying gravity,glad wash post ran my op ed on global warming climategate scandal amazing see al gore s denial of the controversy its like denying gravity
other,Wed Dec 09 08:00:58 +0000 2009,False,"Arrived in Salt Lake City,mom's birthplace,look forward 2 great day tomorrow w/friends&family helping@book event in this gorgeous wonderland",arrived salt lake city mom birthplace look forward great day tomorrow w friends family helping@book event gorgeous wonderland,arrived in salt lake city mom s birthplace look forward great day tomorrow w friends family helping@book event in this gorgeous wonderland
other,Wed Dec 09 04:43:52 +0000 2009,False,"Thrilled 2 meet Michelle Malkin&her beautiful family in Colorado Springs,along w/a couple thousand more fine locals;thank you CO!On 2 Nevada",thrilled meet michelle malkin beautiful family colorado springs along w couple thousand fine locals thank co nevada,thrilled meet michelle malkin her beautiful family in colorado springs along w a couple thousand more fine locals thank you co on nevada
other,Wed Dec 09 00:14:50 +0000 2009,False,"Snowstorm in Colorado reminds us of home!Todd,Trig,my folks&best friend r here to help w book event&we appreciate u hearty souls who r here!",snowstorm colorado reminds us home todd trig folks best friend r help w book event appreciate u hearty souls r,snowstorm in colorado reminds us of home todd trig my folks best friend r here to help w book event we appreciate u hearty souls who r here
other,Tue Dec 08 23:25:58 +0000 2009,False,"Thanks,Montana!Such beautiful land&people,nice to meet your local mayors.Headed to Colorado now, 1 event this evening& we'll overnight there",thanks montana beautiful land people nice meet local mayors headed colorado event evening overnight,thanks montana such beautiful land people nice to meet your local mayors headed to colorado now event this evening we ll overnight there
other,Tue Dec 08 18:54:51 +0000 2009,False,"Quik msg b4 book event:Prez pls pay down massive,obscene U.S debt &/or give ""stimulus"" $ back to Americans b4 propose spending more of our $",quik msg b book event prez pls pay massive obscene u debt give stimulus back americans b propose spending,quik msg b book event prez pls pay down massive obscene u s debt or give stimulus back to americans b propose spending more of our
other,Tue Dec 08 18:47:56 +0000 2009,False,"In Big Sky country,Montana!Get2 see hardworking Americans who love the West,have healthy suspicion of anythng ""Big Govt""&dearly love the USA",big sky country montana get see hardworking americans love west healthy suspicion anythng big govt dearly love usa,in big sky country montana get see hardworking americans who love the west have healthy suspicion of anythng big govt dearly love the usa
other,Tue Dec 08 13:21:27 +0000 2009,False,Try 2 hear Laura Ingraham's radio today;she had great FOX Nws comments on Copenhagen Climate PARTY&hypocrisy&lotso' junk data involved in it,try hear laura ingraham radio today great fox nws comments copenhagen climate party hypocrisy lotso junk data involved,try hear laura ingraham s radio today she had great fox nws comments on copenhagen climate party hypocrisy lotso junk data involved in it
other,Tue Dec 08 02:05:18 +0000 2009,False,"2 much of ""global warming"" agenda is merely to halt responsible developmnt;sound science must b foundation 4 Copnhagn decisions,not politics",much global warming agenda merely halt responsible developmnt sound science must b foundation copnhagn decisions politics,much of global warming agenda is merely to halt responsible developmnt sound science must b foundation copnhagn decisions not politics
other,Tue Dec 08 02:01:45 +0000 2009,False,"Copnhagn Climate Summit;Obama should boycott in light of bogus ""findings""Public leary re:snake oil science,he must take stand on climategate",copnhagn climate summit obama boycott light bogus findings public leary snake oil science must take stand climategate,copnhagn climate summit obama should boycott in light of bogus findings public leary re snake oil science he must take stand on climategate
other,Mon Dec 07 22:14:41 +0000 2009,False,Privileged 2 now meet w MN folks w families n Alaska;1 realizes how intimate r nation is as we travel&hear of connections all Americans have,privileged meet w mn folks w families n alaska realizes intimate r nation travel hear connections americans,privileged now meet w mn folks w families n alaska realizes how intimate r nation is as we travel hear of connections all americans have
other,Mon Dec 07 22:03:18 +0000 2009,False,"Also on the MN stage,proved why I didn't go far n childhood ballet classes!Nothing like stumbling on stage in frontof 100s 2 keep 1 humble:)",also mn stage proved go far n childhood ballet classes nothing like stumbling stage frontof keep humble,also on the mn stage proved why i didn t go far n childhood ballet classes nothing like stumbling on stage in frontof s keep humble
other,Mon Dec 07 22:00:08 +0000 2009,False,"Finishing up great MN event w great Americans who r geared up 4 Christmas;as w everywhere we traveled, staff&security have been outstanding!",finishing great mn event w great americans r geared christmas w everywhere traveled staff security outstanding,finishing up great mn event w great americans who r geared up christmas as w everywhere we traveled staff security have been outstanding
other,Mon Dec 07 13:46:55 +0000 2009,False,"In Minnesota,event @ Mall of America,look frwrd 2 seeing Alaska friends' relatives here (a lot of MN transplants in AK!);lot in common w MN",minnesota event @ mall america look frwrd seeing alaska friends relatives lot mn transplants ak lot common w mn,in minnesota event @ mall of america look frwrd seeing alaska friends relatives here a lot of mn transplants in ak lot in common w mn
other,Mon Dec 07 03:54:23 +0000 2009,False,Lving SoDakota 4 Minnesota now;Great people braving some challenging elements to join us!God bless the Heartland of the USA;Inspiring folks!,lving sodakota minnesota great people braving challenging elements join us god bless heartland usa inspiring folks,lving sodakota minnesota now great people braving some challenging elements to join us god bless the heartland of the usa inspiring folks
other,Sun Dec 06 15:41:27 +0000 2009,False,Leaving Walter Reed Hosp;met America's finest;seeing these young soldiers who sacrifice so much changes your life/puts things in perspective,leaving walter reed hosp met america finest seeing young soldiers sacrifice much changes life puts things perspective,leaving walter reed hosp met america s finest seeing these young soldiers who sacrifice so much changes your life puts things in perspective
other,Sun Dec 06 12:01:38 +0000 2009,False,Headed to Walter Reed hospital this morn to meet wounded warriors;will give them msg of support from patriots who love these selfless troops,headed walter reed hospital morn meet wounded warriors give msg support patriots love selfless troops,headed to walter reed hospital this morn to meet wounded warriors will give them msg of support from patriots who love these selfless troops
other,Sat Dec 05 12:23:07 +0000 2009,False,Leave chilly TX(poor evidence of global warming today)4 Virginia event&speech tonite n DC;Glad Todd got 2 lv construction project 2 join us!,leave chilly tx poor evidence global warming today virginia event speech tonite n dc glad todd got lv construction project join us,leave chilly tx poor evidence of global warming today virginia event speech tonite n dc glad todd got lv construction project join us
other,Sat Dec 05 12:19:16 +0000 2009,False,"FtHood was absolute BEST last nite;resilient,proud soldiers & their supporters give encouragement 2 others facing tough challenges;God bless",fthood absolute best last nite resilient proud soldiers supporters give encouragement others facing tough challenges god bless,fthood was absolute best last nite resilient proud soldiers their supporters give encouragement others facing tough challenges god bless
other,Fri Dec 04 22:12:39 +0000 2009,False,Left Dallas book event;most participants' shout-outs were reminders to tell Ft.Hood soldiers how appreciated they are! We head to FtHood now,left dallas book event participants shout outs reminders tell ft hood soldiers appreciated head fthood,left dallas book event most participants shout outs were reminders to tell ft hood soldiers how appreciated they are we head to fthood now
other,Fri Dec 04 14:26:04 +0000 2009,False,GOP Chair Steele great msg re yestrdy's Job Summit;asks Prez 2 buckle down&work Commonsense Conservative solutions 4 jobs: no Stimulus Redux,gop chair steele great msg yestrdy job summit asks prez buckle work commonsense conservative solutions jobs stimulus redux,gop chair steele great msg re yestrdy s job summit asks prez buckle down work commonsense conservative solutions jobs no stimulus redux
other,Fri Dec 04 04:44:05 +0000 2009,False,Flying 2 Dallas now where bus meets us 2 get early start tomrrw w 1000s of good Texans who are lot like Alaskans:independent/bold/patriotic,flying dallas bus meets us get early start tomrrw w good texans lot like alaskans independent bold patriotic,flying dallas now where bus meets us get early start tomrrw w s of good texans who are lot like alaskans independent bold patriotic
other,Fri Dec 04 00:13:49 +0000 2009,False,"Stand by for Facebook entry on Obama's climate change ""experts"" & their latest shenanigans. Thank God ""Climategate"" truth is being revealed!",stand facebook entry obama climate change experts latest shenanigans thank god climategate truth revealed,stand by for facebook entry on obama s climate change experts their latest shenanigans thank god climategate truth is being revealed
other,Fri Dec 04 00:08:42 +0000 2009,False,"More bogus Alaska ""ethics violation"" charges against me dismissed (see Facebook pg)The expensive/wasteful game winds down as we keep winning",bogus alaska ethics violation charges dismissed see facebook pg expensive wasteful game winds keep winning,more bogus alaska ethics violation charges against me dismissed see facebook pg the expensive wasteful game winds down as we keep winning
other,Thu Dec 03 16:28:43 +0000 2009,False,"To Fayetteville Sam's Club, sunny&gorgeous this morn!Feel guilty hearing of sub-zero temps & big snow back home in Alaska (Nah,not 2 guilty)",fayetteville sam club sunny gorgeous morn feel guilty hearing sub zero temps big snow back home alaska nah guilty,to fayetteville sam s club sunny gorgeous this morn feel guilty hearing of sub zero temps big snow back home in alaska nah not guilty
other,Thu Dec 03 15:31:23 +0000 2009,False,"Baffling/nonsensical:Obama's talk of yet another debt-ridden ""stimulus""pkg.Fight this 1, America, bc after last 1 unemploymnt rose,debt grew",baffling nonsensical obama talk yet another debt ridden stimulus pkg fight america bc last unemploymnt rose debt grew,baffling nonsensical obama s talk of yet another debt ridden stimulus pkg fight this america bc after last unemploymnt rose debt grew
other,Thu Dec 03 05:24:24 +0000 2009,False,On Going Rogue bus 2 Arkansas 2 sign books in morn;very inspired 2 encourage u 2 join FIGHT 4 VICTORY&FREEDOM aftr mtg w troops tonite in MO,going rogue bus arkansas sign books morn inspired encourage u join fight victory freedom aftr mtg w troops tonite mo,on going rogue bus arkansas sign books in morn very inspired encourage u join fight victory freedom aftr mtg w troops tonite in mo
other,Thu Dec 03 05:18:44 +0000 2009,False,Leaving College of Ozarks- honored Greatest Generation members/101st Airborne/Band of Brothers;all Americans need 2 hear frm these Patriots!,leaving college ozarks honored greatest generation members st airborne band brothers americans need hear frm patriots,leaving college of ozarks honored greatest generation members st airborne band of brothers all americans need hear frm these patriots
other,Wed Dec 02 19:34:07 +0000 2009,False,"Many volunteers helping w Trig during these book events: thank u,I love u,couldn't do this without u!We're seeing the good heart of America!",many volunteers helping w trig book events thank u love u without u seeing good heart america,many volunteers helping w trig during these book events thank u i love u couldn t do this without u we re seeing the good heart of america
other,Wed Dec 02 19:32:10 +0000 2009,False,On bus 2 nxt event in MO thn to Arkansas tonite;great folks so appreciative&welcoming - make me proud to 2 b American bc they luv freedom 2!,bus nxt event mo thn arkansas tonite great folks appreciative welcoming make proud b american bc luv freedom,on bus nxt event in mo thn to arkansas tonite great folks so appreciative welcoming make me proud to b american bc they luv freedom
other,Wed Dec 02 19:29:06 +0000 2009,False,Book event@Springfield;folks msg 2 DC:we expect r govt 2 hear us&be on our side&we'll support candidates frm any party who'll fight WITH us!,book event@springfield folks msg dc expect r govt hear us side support candidates frm party fight us,book event@springfield folks msg dc we expect r govt hear us be on our side we ll support candidates frm any party who ll fight with us
other,Wed Dec 02 05:02:35 +0000 2009,False,"Caught the president's speech excerpts re Afghanistan, pls see FaceBook page for comments. As stated before, ""If We're in it, Let's Win it""",caught president speech excerpts afghanistan pls see facebook page comments stated let win,caught the president s speech excerpts re afghanistan pls see facebook page for comments as stated before if we re in it let s win it
other,Wed Dec 02 04:53:39 +0000 2009,False,New Mexico was great!Met many fine Americans there- hardworking/patriotic- incl many Border Patrol Agents who make us proud;Thx 4 great work,new mexico great met many fine americans hardworking patriotic incl many border patrol agents make us proud thx great work,new mexico was great met many fine americans there hardworking patriotic incl many border patrol agents who make us proud thx great work
other,Tue Dec 01 21:27:01 +0000 2009,False,"Posting new book tour pix on FaceBook page in a few minutes;Enjoy them!& I'll answer the lamestream media's criticism of the book tour, too!",posting new book tour pix facebook page minutes enjoy answer lamestream media criticism book tour,posting new book tour pix on facebook page in a few minutes enjoy them i ll answer the lamestream media s criticism of the book tour too
other,Tue Dec 01 21:23:48 +0000 2009,False,"Phoenix was awesome! Just wrapping up our Costco event, loading up Trig... Now headed to Roswell, NM before heading to Springfield tonight!",phoenix awesome wrapping costco event loading trig headed roswell nm heading springfield tonight,phoenix was awesome just wrapping up our costco event loading up trig now headed to roswell nm before heading to springfield tonight
other,Mon Nov 30 03:20:42 +0000 2009,False,While in Washington State today my heart goes out to the WA police officers gunned down so tragically&senslessly. God comfort the families.,washington state today heart goes wa police officers gunned tragically senslessly god comfort families,while in washington state today my heart goes out to the wa police officers gunned down so tragically senslessly god comfort the families
other,Wed Nov 25 15:31:28 +0000 2009,False,"Much 2 b thankful 4 as Americans,most free people on earth!More opportunity 4 happiness/health/prosperity thx to our liberating Constitution",much b thankful americans free people earth opportunity happiness health prosperity thx liberating constitution,much b thankful as americans most free people on earth more opportunity happiness health prosperity thx to our liberating constitution
other,Wed Nov 25 15:25:20 +0000 2009,False,Leaving Florida to meet family from Texas/Alaska/Washington. We run in Red Cross charity 5k race tmrrw in Richland b4 Thanksgiving dinner...,leaving florida meet family texas alaska washington run red cross charity k race tmrrw richland b thanksgiving dinner,leaving florida to meet family from texas alaska washington we run in red cross charity k race tmrrw in richland b thanksgiving dinner
other,Wed Nov 25 05:11:05 +0000 2009,False,Posting on my FaceBook pg my take on ridiculous new proposal to tax our natl security mission. Dear God... what is congress thinking now?,posting facebook pg take ridiculous new proposal tax natl security mission dear god congress thinking,posting on my facebook pg my take on ridiculous new proposal to tax our natl security mission dear god what is congress thinking now
other,Wed Nov 25 03:19:45 +0000 2009,False,Wrapping up outrageously great visits in 3 Florida cities! Warm weather&warm hearts in this part of our great country made a very nice day,wrapping outrageously great visits florida cities warm weather warm hearts part great country made nice day,wrapping up outrageously great visits in florida cities warm weather warm hearts in this part of our great country made a very nice day
other,Tue Nov 24 13:52:28 +0000 2009,False,"On bus to Jacksonville, FL book signing. The Southern hospitality around here is unsurpassed - thx for the encouragement!3 book events today",bus jacksonville fl book signing southern hospitality around unsurpassed thx encouragement book events today,on bus to jacksonville fl book signing the southern hospitality around here is unsurpassed thx for the encouragement book events today
other,Tue Nov 24 13:50:06 +0000 2009,False,Ystrdy- FtBragg soldiers/their/families/supporters: can't thnk enough for selfless service to country. Millions of proud Americans honor u,ystrdy ftbragg soldiers families supporters thnk enough selfless service country millions proud americans honor u,ystrdy ftbragg soldiers their families supporters can t thnk enough for selfless service to country millions of proud americans honor u
other,Mon Nov 23 21:56:16 +0000 2009,False,"Ft Bragg soldiers, their families & supporters: we can't thk u enough for selfless service to country. Millions of proud Americans honor u",ft bragg soldiers families supporters thk u enough selfless service country millions proud americans honor u,ft bragg soldiers their families supporters we can t thk u enough for selfless service to country millions of proud americans honor u
other,Mon Nov 23 13:03:13 +0000 2009,False,To Ft Bragg after sweet overnight in NC visiting w Billy Graham family;The patriarch's message of faith is needed in US today more thn ever,ft bragg sweet overnight nc visiting w billy graham family patriarch message faith needed us today thn ever,to ft bragg after sweet overnight in nc visiting w billy graham family the patriarch s message of faith is needed in us today more thn ever
other,Sun Nov 22 19:22:07 +0000 2009,False,Now headed to No.Carolina;humbled to have once-in-lifetime opportnity to mt Billy Graham;His son Franklin does great work in Alaska villages,headed carolina humbled lifetime opportnity mt billy graham son franklin great work alaska villages,now headed to no carolina humbled to have once in lifetime opportnity to mt billy graham his son franklin does great work in alaska villages
other,Sun Nov 22 19:17:10 +0000 2009,False,Surprise guest in Virginia- thx Tito the Builder! Still representing hardworking Americans who loves this country/protects r Constitution!,surprise guest virginia thx tito builder still representing hardworking americans loves country protects r constitution,surprise guest in virginia thx tito the builder still representing hardworking americans who loves this country protects r constitution
other,Sun Nov 22 05:44:07 +0000 2009,False,"Landed in VA/swung by overnight campers to say ""thx & we'll see u again tmorrw!"" Reminiscent of Alaskan camping trips-slash-tailgate parties",landed va swung overnight campers say thx see u tmorrw reminiscent alaskan camping trips slash tailgate parties,landed in va swung by overnight campers to say thx we ll see u again tmorrw reminiscent of alaskan camping trips slash tailgate parties
